	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
CH10_S44	49	45	16	16	16	16	16	8	8
CH11_S45	45428	44924	39579	39579	39579	39579	39579	38937	38929
CH12_S46	159	149	49	49	49	49	49	15	15
CH16_S47	142	134	33	33	33	33	33	14	14
CH17_S48	91700	90794	79106	79106	79106	79106	79106	78455	78262
CH18_S49	119015	117155	101678	101678	101678	101678	101678	100342	96573
CH19_S50	32040	31385	27251	27251	27251	27251	27251	26667	26532
CH32_S51	16458	16320	14320	14320	14320	14320	14320	14167	14166
CH35_S53	83	75	15	15	15	15	15	7	7
CH37_S54	97	87	18	18	18	18	18	0	0
CH38_S52	4705	4615	3597	3597	3597	3597	3597	3416	3416
CH39_S55	138	131	37	37	37	37	37	29	29
CH40_S56	65	55	15	15	15	15	15	0	0
CH41_S57	177	163	47	47	47	47	47	17	17
CH42_S58	28348	28030	23846	23846	23846	23846	23846	15552	15373
CH44_S59	115	110	37	37	37	37	37	22	22
CH45_S60	186	166	46	46	46	46	46	13	13
CH46_S72	906342	894568	746193	746193	746193	746193	746193	661815	641740
CH47_S61	205334	202366	167903	167903	167903	167903	167903	161042	153207
CH48_S62	826	786	108	108	108	108	108	0	0
CH49_S63	60543	59662	49331	49331	49331	49331	49331	34012	33533
CH50_S64	12092	11944	9469	9469	9469	9469	9469	5984	5943
CH51_S65	181207	178916	150369	150369	150369	150369	150369	120170	118281
CH52_S66	169047	166705	137226	137226	137226	137226	137226	107132	105802
CH53_S67	210149	207217	170187	170187	170187	170187	170187	139059	136704
CH55_S68	150731	148751	124325	124325	124325	124325	124325	96944	94895
CH57_S69	563689	556177	465022	465022	465022	465022	465022	401393	391798
CH58_S70	727616	717903	599941	599941	599941	599941	599941	541188	522668
CH59_S71	100938	99491	81454	81454	81454	81454	81454	60706	59846
CH6_S40	41	39	9	9	9	9	9	5	5
CH7_S41	56328	55213	48562	48562	48562	48562	48562	47891	47614
CH8_S42	146	135	39	39	39	39	39	11	11
CH9_S43	171	163	55	55	55	55	55	23	23
SHL1_S83	168331	166401	139860	139860	139860	139860	139860	136332	129979
SHL2_S84	255797	252725	215222	215222	215222	215222	215222	210528	195569
SHL3_S85	61891	60764	52236	52236	52236	52236	52236	51182	47171
SHL4_S86	68680	67506	57504	57504	57504	57504	57504	55762	52350
SHL5_S87	83042	81589	69398	69398	69398	69398	69398	68670	63396
SHS1_S35	21348	21089	18348	18348	18348	18348	18348	18225	18142
SHS2_S36	101	89	21	21	21	21	21	0	0
SHS3_S37	111	108	33	33	33	33	33	24	24
SHS4_S38	25467	25152	22227	22227	22227	22227	22227	22083	22057
SHS5_S39	95	85	22	22	22	22	22	0	0
SKL1_S78	124504	123127	103871	103871	103871	103871	103871	101532	97342
SKL2_S79	849	790	175	175	175	175	175	50	50
SKL3_S80	208	191	48	48	48	48	48	20	20
SKL4_S81	151366	149568	127448	127448	127448	127448	127448	124851	119830
SKL5_S82	82788	81717	70306	70306	70306	70306	70306	68529	64842
SKS1_S30	41	35	12	12	12	12	12	0	0
SKS2_S31	44	39	9	9	9	9	9	9	9
SKS3_S32	21	18	7	7	7	7	7	0	0
SKS4_S33	60	50	9	9	9	9	9	9	9
SKS5_S34	61	54	8	8	8	8	8	0	0
T1_S95	61220	60042	50540	50540	50540	50540	50540	47855	44347
TKPL1_S73	20970	20648	17293	17293	17293	17293	17293	9831	9675
TKPL2_S74	9989	9822	8400	8400	8400	8400	8400	8115	7426
TKPL3_S75	227437	223821	194071	194071	194071	194071	194071	190465	160493
TKPL4_S76	21471	21161	18290	18290	18290	18290	18290	17752	15678
TKPL5_S77	19570	19354	16458	16458	16458	16458	16458	15931	15564
TKPS1_S25	24631	23737	20229	20229	20229	20229	20229	18942	18759
TKPS2_S26	11395	11022	9572	9572	9572	9572	9572	8768	8747
TKPS3_S27	24	21	7	7	7	7	7	0	0
TKPS4_S28	4982	4929	4287	4287	4287	4287	4287	4237	4229
TKPS5_S29	23	22	5	5	5	5	5	0	0
CH16_S19	161787	156899	113222	113222	113222	113222	113222	109317	104300
