sample.id,env,site,crab,16S,its,technical replicates (ITS only)
MG_SH_1,MG,SH,1,2,1,
MG_SH_2,MG,SH,2,1,2,
MG_SH_3,MG,SH,3,1,2,yes
MG_SH_4,MG,SH,4,1,2,
MG_SH_5,MG,SH,5,1,1,
MG_SH_6,MG,SH,6,1,2,
MG_SH_7,MG,SH,7,1,2,
MG_SH_8,MG,SH,8,1,1,
MG_SH_9,MG,SH,9,1,2,
MG_SH_10,MG,SH,10,1,2,
MG_SH_11,MG,SH,11,1,3,
MG_SK_1,MG,SK,1,1,2,
MG_SK_2,MG,SK,2,1,2,
MG_SK_3,MG,SK,3,1,2,
MG_SK_4,MG,SK,4,1,1,
MG_SK_5,MG,SK,5,1,1,
MG_SK_6,MG,SK,6,1,3,
MG_SK_7,MG,SK,7,1,1,
MG_SK_8,MG,SK,8,1,1,
MG_SK_9,MG,SK,9,2,2,
MG_SK_10,MG,SK,10,1,2,
MG_SK_11,MG,SK,11,1,2,yes
MG_TKP_1,MG,TKP,1,2,1,
MG_TKP_2,MG,TKP,2,1,2,
MG_TKP_3,MG,TKP,3,1,2,
MG_TKP_4,MG,TKP,4,1,3,
MG_TKP_5,MG,TKP,5,1,2,
MG_TKP_6,MG,TKP,6,1,1,
MG_TKP_7,MG,TKP,7,1,1,
MG_TKP_8,MG,TKP,8,1,2,
MG_TKP_9,MG,TKP,9,1,1,
MG_TKP_10,MG,TKP,10,1,2,
MG_TKP_11,MG,TKP,11,1,1,
HG_SH_1,HG,SH,1,2,2,yes
HG_SH_2,HG,SH,2,1,1,
HG_SH_3,HG,SH,3,1,2,
HG_SH_4,HG,SH,4,1,2,
HG_SH_5,HG,SH,5,2,1,
HG_SH_6,HG,SH,6,1,1,
HG_SH_7,HG,SH,7,1,1,
HG_SH_8,HG,SH,8,1,1,
HG_SH_9,HG,SH,9,1,1,
HG_SH_10,HG,SH,10,1,1,
HG_SH_11,HG,SH,11,1,1,
HG_SK_1,HG,SK,1,1,2,
HG_SK_2,HG,SK,2,1,1,
HG_SK_3,HG,SK,3,1,1,
HG_SK_4,HG,SK,4,1,1,
HG_SK_5,HG,SK,5,1,2,
HG_SK_6,HG,SK,6,1,2,yes
HG_SK_7,HG,SK,7,1,1,
HG_SK_8,HG,SK,8,1,1,
HG_SK_9,HG,SK,9,1,2,
HG_SK_10,HG,SK,10,1,1,
HG_SK_11,HG,SK,11,1,1,
HG_TKP_1,HG,TKP,1,1,2,
