	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
CH-50_S1	31232	19909	4191	4191	4191	4191	4191	4008	3921
CH-57_S11	41978	23210	2023	2023	2023	2023	2023	1923	1923
GO-11_S56	55304	8735	5009	5009	5009	5009	5009	4867	4867
GO-12_S36	41979	12560	2526	2526	2526	2526	2526	2297	2297
GO-19_S24	33759	13592	4921	4921	4921	4921	4921	4210	4210
GO-49_S57	84183	44250	21015	21015	21015	21015	21015	20890	20890
GO-50_S58	32031	6766	4410	4410	4410	4410	4410	4396	4396
GO-51_S59	32457	8001	5293	5293	5293	5293	5293	5276	5276
GO-55_S60	87515	40037	26349	26349	26349	26349	26349	25940	25940
GO-6_S55	48416	3937	3055	3055	3055	3055	3055	3050	3050
HG-18_S41	52743	40276	10489	10489	10489	10489	10489	10414	10414
HG-38_S42	55286	42830	11957	11957	11957	11957	11957	11449	11449
HIN-10_S2	42592	35294	5440	5440	5440	5440	5440	5261	5261
HIN-11_S6	41376	37327	3920	3920	3920	3920	3920	3610	3610
HIN-16_S9	35059	27427	2881	2881	2881	2881	2881	160	160
HIN-32_S16	39251	15207	2410	2410	2410	2410	2410	2185	2185
HIN-39_S3	28612	23455	6693	6693	6693	6693	6693	6180	6034
HIN-44_S10	38139	33196	2261	2261	2261	2261	2261	2129	1721
HIN-47_S13	33576	29555	2639	2639	2639	2639	2639	2552	2504
HIN-49_S18	40619	29541	3242	3242	3242	3242	3242	3009	3009
HIN-50_S21	31387	20427	2019	2019	2019	2019	2019	1904	1783
HIN-6_S17	41027	24222	2315	2315	2315	2315	2315	1537	1537
MG-10_S46	20003	5274	3627	3627	3627	3627	3627	3613	3613
MG-32_S47	55807	38571	13726	13726	13726	13726	13726	13452	13452
MG-35_S48	42214	38363	27329	27329	27329	27329	27329	26826	26663
MG-39_S49	44931	36820	10955	10955	10955	10955	10955	10902	10768
MG-45_S50	32329	4083	3218	3218	3218	3218	3218	3208	3208
MG-48_S51	40751	28009	7737	7737	7737	7737	7737	6999	6992
MG-57_S52	45422	38469	8777	8777	8777	8777	8777	8632	8545
MG-58_S53	66412	44790	32880	32880	32880	32880	32880	32588	32588
MG-59_S54	28115	24703	3841	3841	3841	3841	3841	3110	2992
MG-7_S43	46779	33569	11013	11013	11013	11013	11013	10786	10786
MG-8_S44	49193	16281	8188	8188	8188	8188	8188	8149	8149
MG-9_S45	65385	44076	9482	9482	9482	9482	9482	8339	8339
MID-16_S4	24737	21532	2198	2198	2198	2198	2198	2185	2185
MID-18_S7	25042	18286	2477	2477	2477	2477	2477	2369	2369
MID-36_S14	26140	20740	2167	2167	2167	2167	2167	2080	2080
MID-39_S22	40093	12994	3595	3595	3595	3595	3595	3544	3544
MID-44_S5	23282	20526	854	854	854	854	854	775	775
MID-46_S8	30617	24969	3452	3452	3452	3452	3452	3153	3153
MID-49_S12	39882	24754	2186	2186	2186	2186	2186	2000	2000
MID-50_S15	29784	24747	2241	2241	2241	2241	2241	2129	2129
MID-52_S20	41798	22981	2602	2602	2602	2602	2602	2293	2293
MID-53_S23	34508	26910	3146	3146	3146	3146	3146	2016	2016
MID-59_S25	67202	11161	3232	3232	3232	3232	3232	2985	2946
MID-9_S19	38821	15372	1593	1593	1593	1593	1593	1056	1056
SH-L4_S28	60829	60509	50680	50680	50680	50680	50680	49992	49886
SH-WD1_S33	26640	26331	18221	18221	18221	18221	18221	17587	17587
SH-WD2_S35	46489	46117	33526	33526	33526	33526	33526	32875	32875
SH-WD3_S37	37934	37538	25700	25700	25700	25700	25700	24873	24873
SH-WD4_S38	35482	35063	23592	23592	23592	23592	23592	22729	22729
SH-WD5_S39	31206	30884	22266	22266	22266	22266	22266	21639	21639
SK-WD1_S26	37372	37051	29301	29301	29301	29301	29301	28945	28945
